id,travel_type_work,travel_type_honeymoon,travel_type_citybreak,travel_type_holiday,travel_type_backpack,travel_companion_solo,travel_companion_kids,travel_companion_couple,travel_companion_friends,accomodation_quality_cleanliness,accomodation_quality_breakfast,accomodation_quality_quiet,accomodation_quality_price,accomodation_quality_location,accomodation_quality_wifi,accomodation_quality_staff,124_prince_of_wales_drive,131_137_cromwell_rd,167_bermondsey_street,176_south_lambeth_road_vauxhall,2_hurlingham_business_park,24_hour_front_desk,252_camden_road,33_cranbourn_street,4_watteau_square,58_commercial_road,68_elm_park_gardens,air_conditioning,airport_shuttle,bar,bayswater,bbq_facilities,bed_and_breakfast,bloomsbury,boat,brent,brown_hart_gardens,camden,canary_wharf,carter_lane,chiswick,city,city_of_london,colliers_wood,covent_garden,cowcross_street,daily_housekeeping,dalston,delorme_street_w_6_8_ds,designated_smoking_area,docklands,dulwich,ealing,earl's_court,earls_court,facilities_for_disabled_guests,family_rooms,fellows_road,first_floor,flat_2,flat_66,fleet_street,fotress_road,free_parking,free_wifi,garden,greenwich,guest_house,hackney,hammersmith_and_fulham,heating,hillingdon_street,hither_green_oakwood_close,homestay,horton_house,hostel,hot_tub_jacuzzi,hotel,indoor_pool,inn,islington,kensington,kensington_and_chelsea,knightsbridge,lambeth,lancaster_gate,laundry,lewisham,lift,limehouse,london,london_sw_11_8_eg,luggage_storage,marsh_wall,mayfair,millharbour_canary,muswell_hill,near_pimlico_underground_station,newham,non_smoking_rooms,nr_covent_garden,off_ilchester_gardens,on_site_parking,oriel_place_wells_court,orpington,paddington,pancras_road,park_lane,park_view_mansions,parking,peckham,pets_allowed,private_parking,restaurant,romney_court,room_service,royal_arsenal,royal_arsenal_riverside,royal_gateway_caxton_works_canning_town,se_1,shepherds_bush,shoreditch,sloane_square,soda_studios_268_kingsland_road,soho,south_place,southwark,spa_and_wellness_centre,stanmore_road,stepney,stratford,student_accommodation,swimming_pool,terrace,tooley_street,tower_hamlets,upper_groung,vauxhall,victoria,wandsworth,wembley,wembley_ha_9_6_pn,west_end,west_end_mayfair,west_hampstead,westfield_stratford_city,westminster_borough,weston_street,wifi,wood_green,woolwich_arsenal_at_10_woolwich_new_road
d3d46211-fa0c-44d2-939b-2252facb1ec0,0.20119518566191052,0.07343952272010568,0.9680908521483276,0.4707383424717977,0.09089032677517483,0.4173608045943824,0.671568443678519,0.3204727352111063,0.26898892287631226,0.6206553823755787,0.8114957258010698,0.44100502301411737,0.5398277458187999,0.5663112967360742,0.25243838828400933,0.0068913940935662055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a4ce2b7-7c43-48d8-a7d0-e254e555b479,0.3164156009147334,0.337054725271575,0.11593307143683207,0.873685975139951,0.868117587393268,0.4768423468622478,0.3972950295044748,0.5644944412855093,0.9183633618296863,0.41598428195255277,0.6317152071018666,0.4041046118866629,0.3986325975859708,0.768079604486545,0.06565348188635567,0.9568103958585594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67a41446-598c-427a-9375-479936766a35,0.07855012190489719,0.20999110805998455,0.3448874015566241,0.9357408074045392,0.0060981919106530835,0.8807431684166391,0.8862795796669929,0.45501308716399835,0.845645861819107,0.8056626664565474,0.9858944201050102,0.4450410300902503,0.21624412672363147,0.21149831228737104,0.0749659942910621,0.9405461600926612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8d0221e5-d05e-4255-b470-7a0de336da31,0.20852905967606583,0.614792420058089,0.08954856579977788,0.5185448132704169,0.5289434284981664,0.2541274117494654,0.6504640658078225,0.7154226830680706,0.24671804220399363,0.38310011049917025,0.29902816806100296,0.5777985208841665,0.4369510223484767,0.7173588119594181,0.6099973342341451,0.6982418500280987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8224bbd5-9823-4256-a984-34271ed58266,0.17585408458272078,0.40176855854040383,0.6425103330253865,0.8386421794210626,0.7332260053244948,0.46575720114160357,0.25374597717578085,0.5148816519685955,0.7515380986961582,0.5167097129445279,0.7172249590690958,0.1563949504907669,0.8333763921753619,0.9629481196875023,0.3366067181460952,0.053912199797816696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28694632-d9cb-4064-a103-033db611184b,0.7530089701888432,0.35268769137665035,0.15186210480046047,0.6355573916305217,0.6933651300149308,0.6962904477541925,0.8604247278683725,0.29983107507679385,0.05189305179810533,0.825976605061739,0.46604748866227674,0.13144416487910893,0.43518211781422345,0.7002422168137177,0.35071885089343313,0.6327465793081883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29d90345-ec61-4838-bb02-1f642f90f2dd,0.35618712821563214,0.15094595160573077,0.34565755212257754,0.5988200157957635,0.6185830030223556,0.8646976761051408,0.5111118262542795,0.5958820657488855,0.1954392909754179,0.595924972413457,0.24174165256918312,0.28415392359302083,0.9799828589561206,0.2690278972188034,0.8828537977033026,0.04582671271690808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a955022b-afce-45fd-afed-d63615e1ff71,0.10287868350505458,0.5388992448608001,0.7376925137022148,0.42359998808128485,0.8837443948110582,0.49929368995997714,0.37794878746030247,0.1812238340983594,0.9253015696290088,0.913288080765505,0.9789668334329615,0.8334845851721451,0.7089920043294271,0.23253280117056807,0.38772488601331423,0.16955280165632636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d511b39a-f6d2-4d8a-a649-7aed37c73411,0.704891789789416,0.8779244905811168,0.19108891576945153,0.31525397506639163,0.3928233796005969,0.6561186664946836,0.6064816793992536,0.14224813124793312,0.8363435206793846,0.3725394806945941,0.7501215099584295,0.784195196331922,0.28146090952538905,0.6184159956291202,0.8330009307214681,0.18539284519317945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3254164e-678e-434e-b509-617b05584bcb,0.6319748947862134,0.5578386664142521,0.3659772197947211,0.826489206616656,0.6210155073518888,0.49033293386902366,0.22954161399376094,0.36678753671887465,0.5662661563987605,0.8519448450092213,0.8551068971087503,0.3403796376746733,0.7229306079955415,0.13072678561743856,0.35432669960310115,0.5432730552424025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed4eaa79-0b0a-420e-ad6a-cc814b886641,0.6971567306862887,0.6339921385881342,0.04939224108430085,0.17615285810839088,0.03811680994379851,0.7897155187670939,0.2904130226784869,0.14533580663703005,0.5451403620236226,0.23600508816581467,0.4676043722503429,0.25407267185022153,0.7512016429625545,0.6685077345598662,0.9599520065561795,0.06448164972804227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
